rank,lat_cell,lon_cell,records,active_days,priority_score_0_100,police_station,junction,peak_hour_IST,peak_hour_count,peak_hour_share,top_weekday,avg_violation_severity_1_5,avg_vehicle_obstruction_1_5,top_violations,top_vehicle_types,sample_location
14,12.965,77.576,1933,111,50.28,City Market,BTP082 - KR Market Junction,09:00-09:59,270,0.1397,Wednesday,2.02,1.29,WRONG PARKING (1512); NO PARKING (422); DEFECTIVE NUMBER PLATE (26),SCOOTER (1310); MOTOR CYCLE (330); CAR (114),"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)"
15,13.184,77.68,1926,138,49.61,Chikkajala,No Junction,01:00-01:59,239,0.1241,Friday,2.85,3.0,NO PARKING (1564); PARKING IN A MAIN ROAD (515); WRONG PARKING (366),CAR (1020); MAXI-CAB (871); LGV (13),"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
16,12.981,77.609,1074,127,48.8,Shivajinagar,BTP051 - Safina Plaza Junction,08:00-08:59,233,0.2169,Sunday,2.14,2.32,WRONG PARKING (661); NO PARKING (422); PARKING IN A MAIN ROAD (27),CAR (521); SCOOTER (249); PASSENGER AUTO (200),"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
17,12.98,77.607,1348,122,48.38,Shivajinagar,BTP051 - Safina Plaza Junction,10:00-10:59,241,0.1788,Friday,2.02,1.72,WRONG PARKING (684); NO PARKING (664); DEFECTIVE NUMBER PLATE (29),SCOOTER (577); CAR (380); MOTOR CYCLE (261),"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
18,12.978,77.574,1167,123,48.16,Upparpet,BTP045 - Danvanthri Road Junction,05:00-05:59,144,0.1234,Sunday,2.11,2.41,WRONG PARKING (972); NO PARKING (197); DEFECTIVE NUMBER PLATE (41),CAR (401); SCOOTER (245); PASSENGER AUTO (204),"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
19,12.979,77.579,952,114,48.12,Upparpet,BTP058 - Subbanna Junction,01:00-01:59,326,0.3424,Friday,2.05,2.84,NO PARKING (709); WRONG PARKING (243); DEFECTIVE NUMBER PLATE (23),CAR (751); SCOOTER (47); MAXI-CAB (36),"Vajreshwari Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
20,12.982,77.61,1142,130,48.1,Shivajinagar,BTP051 - Safina Plaza Junction,10:00-10:59,177,0.155,Monday,2.09,1.88,WRONG PARKING (797); NO PARKING (347); REFUSE TO GO FOR HIRE (28),SCOOTER (454); PASSENGER AUTO (288); CAR (244),"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
21,13.0,77.55,1325,120,47.75,Malleshwaram,BTP027 - Modi Bridge Junction,08:00-08:59,295,0.2226,Friday,2.01,1.43,WRONG PARKING (787); NO PARKING (539); DEFECTIVE NUMBER PLATE (18),SCOOTER (696); MOTOR CYCLE (302); CAR (257),"WOC Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
22,12.974,77.545,1760,99,47.48,Vijayanagara,BTP020 - Hosahalli Metro Station,04:00-04:59,323,0.1835,Tuesday,2.06,1.09,WRONG PARKING (967); NO PARKING (800); DEFECTIVE NUMBER PLATE (36),SCOOTER (1152); MOTOR CYCLE (522); CAR (67),"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
23,12.978,77.575,1033,132,47.14,Upparpet,BTP045 - Danvanthri Road Junction,10:00-10:59,165,0.1597,Monday,2.05,1.73,WRONG PARKING (625); NO PARKING (409); DEFECTIVE NUMBER PLATE (33),SCOOTER (392); MOTOR CYCLE (226); CAR (165),"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
24,12.976,77.576,1174,123,46.88,Upparpet,BTP040 - Elite Junction,06:00-06:59,169,0.144,Saturday,2.01,1.78,WRONG PARKING (741); NO PARKING (433); DEFECTIVE NUMBER PLATE (29),SCOOTER (499); CAR (255); PASSENGER AUTO (185),"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
25,12.974,77.578,894,123,46.79,Upparpet,BTP044 - Sagar Theatre Junction,10:00-10:59,161,0.1801,Monday,2.2,2.39,WRONG PARKING (559); NO PARKING (337); PARKING ON FOOTPATH (44),CAR (384); PASSENGER AUTO (152); SCOOTER (143),"1st Cross Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
26,12.977,77.579,956,121,46.66,Upparpet,BTP044 - Sagar Theatre Junction,01:00-01:59,180,0.1883,Sunday,2.01,2.46,NO PARKING (592); WRONG PARKING (364); DEFECTIVE NUMBER PLATE (18),CAR (536); SCOOTER (184); MOTOR CYCLE (78),"Y Ramachandra Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
27,12.98,77.575,1032,118,46.4,Upparpet,BTP057 - Anand Rao Junction,09:00-09:59,160,0.155,Saturday,2.14,2.2,WRONG PARKING (791); NO PARKING (241); DEFECTIVE NUMBER PLATE (44),PASSENGER AUTO (325); CAR (257); SCOOTER (236),"Subedar Chatram Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
28,12.975,77.576,1277,111,46.28,Upparpet,BTP040 - Elite Junction,09:00-09:59,246,0.1926,Monday,2.02,1.63,WRONG PARKING (872); NO PARKING (408); DEFECTIVE NUMBER PLATE (19),SCOOTER (649); CAR (216); MOTOR CYCLE (189),"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
29,12.979,77.578,873,105,46.23,Upparpet,BTP058 - Subbanna Junction,01:00-01:59,314,0.3597,Thursday,2.02,2.77,NO PARKING (592); WRONG PARKING (281); DEFECTIVE NUMBER PLATE (21),CAR (660); SCOOTER (67); MAXI-CAB (46),"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
30,12.979,77.575,941,119,46.17,Upparpet,BTP057 - Anand Rao Junction,09:00-09:59,120,0.1275,Saturday,2.13,2.52,WRONG PARKING (676); NO PARKING (265); PARKING IN A MAIN ROAD (39),CAR (427); PASSENGER AUTO (186); SCOOTER (129),"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
31,12.974,77.579,1077,118,46.07,Upparpet,BTP044 - Sagar Theatre Junction,09:00-09:59,154,0.143,Sunday,2.25,1.75,WRONG PARKING (554); NO PARKING (524); PARKING IN A MAIN ROAD (82),SCOOTER (449); CAR (256); MOTOR CYCLE (169),"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
32,12.964,77.578,980,122,45.65,City Market,BTP082 - KR Market Junction,09:00-09:59,165,0.1684,Saturday,2.05,1.82,WRONG PARKING (753); NO PARKING (227); DEFECTIVE NUMBER PLATE (26),SCOOTER (479); PASSENGER AUTO (168); CAR (133),"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)"
33,13.035,77.589,2284,126,45.48,Hebbala,No Junction,03:00-03:59,285,0.1248,Wednesday,2.01,1.57,NO PARKING (1990); WRONG PARKING (294); DEFECTIVE NUMBER PLATE (170),SCOOTER (953); MOTOR CYCLE (633); CAR (437),"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)"
34,12.965,77.584,1215,107,45.06,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",10:00-10:59,206,0.1695,Tuesday,2.14,1.46,NO PARKING (661); WRONG PARKING (555); PARKING IN A MAIN ROAD (49),SCOOTER (618); MOTOR CYCLE (299); CAR (122),"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)"
35,12.968,77.575,831,107,44.98,Chamarajpet,"BTP083 - AS Char Street, Mysore Road",11:00-11:59,131,0.1576,Friday,2.45,2.55,NO PARKING (443); WRONG PARKING (440); PARKING IN A MAIN ROAD (115),PASSENGER AUTO (379); LGV (152); SCOOTER (137),"AS Char Main Road, Santhusapete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)"
36,12.978,77.579,808,101,44.87,Upparpet,BTP058 - Subbanna Junction,01:00-01:59,294,0.3639,Sunday,2.0,2.62,NO PARKING (533); WRONG PARKING (275); DEFECTIVE NUMBER PLATE (8),CAR (570); SCOOTER (105); MOTOR CYCLE (34),"2nd Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
37,12.978,77.577,801,122,44.82,Upparpet,BTP040 - Elite Junction,01:00-01:59,126,0.1573,Tuesday,2.05,2.18,NO PARKING (467); WRONG PARKING (334); DEFECTIVE NUMBER PLATE (24),CAR (358); SCOOTER (223); MOTOR CYCLE (86),"5th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
38,13.008,77.695,1429,143,44.81,K.R. Pura,No Junction,00:00-00:59,298,0.2085,Saturday,2.75,1.96,WRONG PARKING (1044); NO PARKING (397); PARKING IN A MAIN ROAD (354),SCOOTER (516); PASSENGER AUTO (330); CAR (286),"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)"
39,12.981,77.608,1074,106,44.61,Shivajinagar,BTP051 - Safina Plaza Junction,11:00-11:59,260,0.2421,Sunday,2.16,1.47,NO PARKING (635); WRONG PARKING (439); DEFECTIVE NUMBER PLATE (42),SCOOTER (622); CAR (172); MOTOR CYCLE (158),"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
40,12.977,77.578,711,125,44.55,Upparpet,BTP044 - Sagar Theatre Junction,09:00-09:59,98,0.1378,Sunday,2.01,2.35,WRONG PARKING (363); NO PARKING (348); DEFECTIVE NUMBER PLATE (9),CAR (366); SCOOTER (166); MOTOR CYCLE (60),"Y Ramachandra Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
41,12.977,77.571,1004,91,43.94,Chamarajpet,BTP048 - Shanthala Junction,07:00-07:59,149,0.1484,Tuesday,2.45,2.46,NO PARKING (841); WRONG PARKING (289); PARKING IN A MAIN ROAD (145),PASSENGER AUTO (905); SCOOTER (36); CAR (36),"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)"
42,12.976,77.578,1207,93,43.19,Upparpet,BTP044 - Sagar Theatre Junction,09:00-09:59,268,0.222,Saturday,2.0,1.45,NO PARKING (907); WRONG PARKING (300); DEFECTIVE NUMBER PLATE (19),SCOOTER (705); CAR (236); MOTOR CYCLE (205),"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
43,12.964,77.579,582,111,42.86,City Market,BTP082 - KR Market Junction,01:00-01:59,123,0.2113,Sunday,2.08,2.49,WRONG PARKING (476); NO PARKING (107); PARKING IN A MAIN ROAD (15),CAR (195); SCOOTER (133); PASSENGER AUTO (77),"Silver Jubilee Park Road, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)"
44,12.964,77.584,931,107,42.81,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",10:00-10:59,198,0.2127,Tuesday,2.04,1.4,WRONG PARKING (579); NO PARKING (353); DEFECTIVE NUMBER PLATE (11),SCOOTER (523); MOTOR CYCLE (205); PASSENGER AUTO (93),"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)"
45,12.999,77.55,909,101,42.35,Rajajinagar,BTP027 - Modi Bridge Junction,07:00-07:59,176,0.1936,Tuesday,2.01,1.8,WRONG PARKING (581); NO PARKING (329); DEFECTIVE NUMBER PLATE (10),SCOOTER (381); CAR (313); MOTOR CYCLE (131),"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
46,12.965,77.539,1402,79,42.25,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",11:00-11:59,232,0.1655,Saturday,2.03,1.38,WRONG PARKING (1237); NO PARKING (166); PARKING IN A MAIN ROAD (15),SCOOTER (853); MOTOR CYCLE (267); CAR (195),"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)"
47,13.008,77.555,750,102,41.78,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",10:00-10:59,105,0.14,Sunday,2.01,2.35,WRONG PARKING (451); NO PARKING (299); DEFECTIVE NUMBER PLATE (6),CAR (462); SCOOTER (139); MOTOR CYCLE (89),"GP Rajarathnam Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
48,13.008,77.696,1031,135,41.44,K.R. Pura,No Junction,00:00-00:59,217,0.2105,Sunday,2.94,2.11,WRONG PARKING (773); PARKING IN A MAIN ROAD (306); NO PARKING (289),PASSENGER AUTO (424); SCOOTER (283); CAR (157),"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)"
49,12.964,77.576,632,95,41.43,City Market,BTP082 - KR Market Junction,01:00-01:59,158,0.25,Wednesday,2.1,2.42,WRONG PARKING (593); NO PARKING (42); PARKING IN A MAIN ROAD (21),SCOOTER (173); PASSENGER AUTO (149); CAR (132),"Mysore Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)"
50,12.974,77.551,1107,90,41.17,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",11:00-11:59,221,0.1996,Monday,2.03,1.11,NO PARKING (1015); WRONG PARKING (104); DEFECTIVE NUMBER PLATE (48),SCOOTER (767); MOTOR CYCLE (269); PASSENGER AUTO (25),"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)"
51,12.978,77.58,382,103,40.26,Upparpet,BTP044 - Sagar Theatre Junction,09:00-09:59,66,0.1728,Tuesday,2.01,2.81,NO PARKING (195); WRONG PARKING (187); DEFECTIVE NUMBER PLATE (7),CAR (254); SCOOTER (32); PASSENGER AUTO (24),"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
52,12.975,77.575,613,87,40.25,Upparpet,BTP045 - Danvanthri Road Junction,08:00-08:59,107,0.1746,Tuesday,2.17,2.72,WRONG PARKING (428); NO PARKING (186); PARKING IN A MAIN ROAD (33),CAR (349); PASSENGER AUTO (71); SCOOTER (59),"Major T Ramachandrappa Road, Subash Nagar, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
53,12.965,77.574,531,67,40.24,City Market,"BTP083 - AS Char Street, Mysore Road",00:00-00:59,109,0.2053,Sunday,3.13,2.8,WRONG PARKING (361); PARKING IN A MAIN ROAD (198); NO PARKING (172),CAR (157); LGV (111); PASSENGER AUTO (82),"AS Char Main Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)"
54,12.996,77.669,669,100,40.22,Mahadevapura,No Junction,10:00-10:59,141,0.2108,Friday,4.42,3.06,WRONG PARKING (562); PARKING IN A MAIN ROAD (478); NO PARKING (138),PASSENGER AUTO (183); BUS (BMTC/KSRTC) (138); CAR (102),"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
55,13.008,77.554,528,95,40.12,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",02:00-02:59,89,0.1686,Sunday,2.0,2.74,WRONG PARKING (278); NO PARKING (250); DEFECTIVE NUMBER PLATE (5),CAR (441); SCOOTER (41); MOTOR CYCLE (19),"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
56,12.998,77.55,559,107,40.07,Vijayanagara,BTP027 - Modi Bridge Junction,08:00-08:59,85,0.1521,Wednesday,2.13,1.68,WRONG PARKING (461); NO PARKING (98); PARKING IN A MAIN ROAD (24),SCOOTER (241); CAR (146); MOTOR CYCLE (111),"Padmabhushan Dr MC Modi Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
57,12.999,77.549,994,92,39.99,Rajajinagar,BTP027 - Modi Bridge Junction,07:00-07:59,147,0.1479,Wednesday,2.02,1.11,WRONG PARKING (687); NO PARKING (309); DEFECTIVE NUMBER PLATE (14),SCOOTER (624); MOPED (187); MOTOR CYCLE (125),"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
58,12.933,77.691,2375,69,39.98,HAL Old Airport,No Junction,04:00-04:59,435,0.1832,Tuesday,2.54,1.2,NO PARKING (1489); WRONG PARKING (962); PARKING IN A MAIN ROAD (288),SCOOTER (1322); MOTOR CYCLE (747); CAR (173),"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)"
59,12.954,77.543,479,92,39.9,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",10:00-10:59,112,0.2338,Thursday,2.46,2.02,WRONG PARKING (357); NO PARKING (123); PARKING IN A MAIN ROAD (56),SCOOTER (147); PASSENGER AUTO (135); CAR (94),"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)"
60,12.93,77.61,109,46,39.89,Mico Layout,BTP140 - Madiwala Check Post,02:00-02:59,45,0.4128,Saturday,4.34,2.85,WRONG PARKING (91); PARKING IN A MAIN ROAD (85); NO PARKING (18),CAR (42); MAXI-CAB (36); PASSENGER AUTO (14),"Thavarekere Main Road, Prestige Lexington Towers, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)"
61,12.976,77.575,427,98,39.47,Upparpet,BTP045 - Danvanthri Road Junction,10:00-10:59,46,0.1077,Saturday,2.13,2.73,WRONG PARKING (313); NO PARKING (114); DEFECTIVE NUMBER PLATE (21),CAR (130); PASSENGER AUTO (97); SCOOTER (49),"Major T Ramachandrappa Road, Elite Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
62,12.965,77.575,571,79,39.46,City Market,"BTP083 - AS Char Street, Mysore Road",01:00-01:59,190,0.3327,Sunday,2.1,2.35,WRONG PARKING (459); NO PARKING (115); PARKING IN A MAIN ROAD (19),CAR (175); SCOOTER (155); PASSENGER AUTO (107),"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)"
63,12.945,77.571,554,104,39.44,Basavanagudi,BTP108 - Tagore Park Junction,10:00-10:59,82,0.148,Sunday,2.14,1.59,NO PARKING (389); WRONG PARKING (167); PARKING IN A MAIN ROAD (24),SCOOTER (280); MOTOR CYCLE (88); CAR (86),"Sri DV Gundappa Road, Gandhi Bazar Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
64,13.008,77.549,347,83,39.33,Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,10:00-10:59,192,0.5533,Friday,2.16,1.72,WRONG PARKING (285); NO PARKING (64); DEFECTIVE NUMBER PLATE (19),SCOOTER (210); MOTOR CYCLE (56); BUS (BMTC/KSRTC) (45),"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
65,12.979,77.58,472,89,39.19,Upparpet,BTP058 - Subbanna Junction,01:00-01:59,116,0.2458,Wednesday,2.01,2.5,NO PARKING (339); WRONG PARKING (133); DEFECTIVE NUMBER PLATE (11),CAR (282); SCOOTER (83); MOTOR CYCLE (34),"2nd Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
66,13.009,77.554,626,74,39.07,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",10:00-10:59,150,0.2396,Monday,2.0,2.88,WRONG PARKING (385); NO PARKING (243); DEFECTIVE NUMBER PLATE (3),CAR (532); MAXI-CAB (45); SCOOTER (15),"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
67,12.973,77.551,1105,75,39.03,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",12:00-12:59,229,0.2072,Monday,2.02,1.03,NO PARKING (1021); WRONG PARKING (84); DEFECTIVE NUMBER PLATE (44),SCOOTER (798); MOTOR CYCLE (286); PASSENGER AUTO (12),"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)"
68,12.965,77.577,552,103,38.95,City Market,BTP082 - KR Market Junction,09:00-09:59,83,0.1504,Sunday,2.06,1.53,WRONG PARKING (468); NO PARKING (84); DEFECTIVE NUMBER PLATE (13),SCOOTER (313); PASSENGER AUTO (113); MOTOR CYCLE (65),"Avenue Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)"
69,13.008,77.694,624,123,38.92,K.R. Pura,No Junction,00:00-00:59,268,0.4295,Thursday,2.73,2.48,WRONG PARKING (415); NO PARKING (225); PARKING IN A MAIN ROAD (150),CAR (211); SCOOTER (120); PASSENGER AUTO (100),"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)"
70,12.943,77.571,658,98,38.79,Basavanagudi,BTP108 - Tagore Park Junction,11:00-11:59,97,0.1474,Sunday,2.12,1.28,WRONG PARKING (625); NO PARKING (37); PARKING IN A MAIN ROAD (27),SCOOTER (481); MOTOR CYCLE (76); CAR (67),"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
71,12.975,77.545,1017,81,38.78,Vijayanagara,BTP020 - Hosahalli Metro Station,08:00-08:59,153,0.1504,Friday,2.02,1.13,WRONG PARKING (609); NO PARKING (409); DEFECTIVE NUMBER PLATE (15),SCOOTER (625); MOTOR CYCLE (321); CAR (58),"1st Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
