area_rank,center_lat,center_lon,zone_count,records,max_active_days,area_priority_score_0_100,operational_impact_score_0_100,primary_police_station,primary_junction,recommended_time_window_IST,top_violations,top_vehicle_types,representative_location
24,13.0,77.677335,2,1168,82,34.47,49.27,Mahadevapura,No Junction,01:00-01:59,NO PARKING (780); PARKING IN A MAIN ROAD (524); WRONG PARKING (407),PASSENGER AUTO (471); CAR (464); MAXI-CAB (113),"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
25,12.972,77.658,1,1165,98,34.44,49.25,Jeevanbheemanagar,No Junction,07:00-07:59,NO PARKING (1148); PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (90); DEFECTIVE NUMBER PLATE (78),SCOOTER (486); CAR (319); MOTOR CYCLE (249),"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)"
26,13.007806,77.548586,3,885,83,36.5,49.2,Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,10:00-10:59,WRONG PARKING (716); NO PARKING (171); DEFECTIVE NUMBER PLATE (47),SCOOTER (539); MOTOR CYCLE (170); CAR (52),"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
27,12.992982,77.553579,4,985,60,34.78,48.71,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",03:00-03:59,WRONG PARKING (929); NO PARKING (57); DOUBLE PARKING (5),CAR (502); MAXI-CAB (194); LGV (62),"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
28,12.999529,77.571,2,1121,121,33.44,48.53,Malleshwaram,No Junction,10:00-10:59,WRONG PARKING (619); NO PARKING (504); PARKING IN A MAIN ROAD (11),CAR (547); PASSENGER AUTO (275); SCOOTER (197),"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
29,12.971258,77.597798,3,830,83,34.93,48.06,Cubbon Park,BTP063 - Siddalingaiah Circle,11:00-11:59,NO PARKING (773); WRONG PARKING (57); PARKING IN A MAIN ROAD (25),CAR (431); SCOOTER (188); MOTOR CYCLE (102),"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
30,12.950802,77.7,3,1002,64,32.93,47.77,HAL Old Airport,No Junction,03:00-03:59,WRONG PARKING (786); PARKING IN A MAIN ROAD (669); NO PARKING (275),CAR (394); BUS (BMTC/KSRTC) (183); PRIVATE BUS (118),"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
31,12.968771,77.536512,3,936,84,33.46,47.77,Vijayanagara,"BTP022 - Marenahalli Junction, Vijayanagar",05:00-05:59,NO PARKING (520); WRONG PARKING (436); PARKING IN A MAIN ROAD (16),SCOOTER (483); MOTOR CYCLE (252); CAR (161),"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
32,12.976,77.560895,3,820,87,33.52,47.23,Magadi Road,BTP074 - Leprosy Hospital Junction,10:00-10:59,WRONG PARKING (601); NO PARKING (220); PARKING IN A MAIN ROAD (44),SCOOTER (428); PASSENGER AUTO (123); MOTOR CYCLE (102),"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)"
33,12.98065,77.603,2,605,78,34.07,46.23,Shivajinagar,BTP211 - Central Street Junction,10:00-10:59,WRONG PARKING (570); NO PARKING (35); PARKING ON FOOTPATH (16),SCOOTER (266); CAR (151); MOTOR CYCLE (54),"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
34,12.936,77.615617,2,665,66,33.31,46.22,Adugodi,BTP135 - UCO Bank Junction,09:00-09:59,NO PARKING (592); WRONG PARKING (90); PARKING IN A MAIN ROAD (39),SCOOTER (283); CAR (184); MOTOR CYCLE (123),"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)"
35,13.191,77.646,1,595,93,33.65,45.93,Chikkajala,No Junction,01:00-01:59,NO PARKING (510); PARKING IN A MAIN ROAD (194); WRONG PARKING (90),CAR (438); MAXI-CAB (112); SCOOTER (12),"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)"
36,12.962,77.599,1,609,41,31.51,44.85,Ashok Nagar,BTP172 - Nanjappa Circle,04:00-04:59,NO PARKING (593); WRONG PARKING (16); DEFECTIVE NUMBER PLATE (8),SCOOTER (324); MOTOR CYCLE (263); CAR (14),"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)"
37,12.972443,77.538,2,467,71,33.29,44.7,Vijayanagara,BTP028 - Vijayanagar Bus Stand Junction,10:00-10:59,WRONG PARKING (299); NO PARKING (168); DEFECTIVE NUMBER PLATE (6),SCOOTER (192); CAR (188); MOTOR CYCLE (45),"17th Cross Road, MRCR Extension, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
38,12.928246,77.581246,2,552,57,31.87,44.63,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",09:00-09:59,NO PARKING (520); WRONG PARKING (32); DEFECTIVE NUMBER PLATE (12),CAR (241); SCOOTER (232); MOTOR CYCLE (56),"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
39,12.981,77.558,1,321,89,35.85,44.5,Magadi Road,BTP010 - Rajajinagar Entrance,12:00-12:59,NO PARKING (233); WRONG PARKING (88); PARKING IN A MAIN ROAD (26),SCOOTER (160); MOTOR CYCLE (59); PASSENGER AUTO (44),"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
40,12.989203,77.550464,3,418,53,32.94,44.03,Vijayanagara,"BTP170 - Dr. Bheem Rao Palace, Chord Road",02:00-02:59,WRONG PARKING (332); PARKING IN A MAIN ROAD (95); NO PARKING (87),CAR (199); SCOOTER (57); LGV (32),"Chord Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
41,12.955,77.586,1,233,90,37.37,43.96,Wilson Garden,BTP192 - Urvashi Theater,02:00-02:59,NO PARKING (225); WRONG PARKING (8); DEFECTIVE NUMBER PLATE (4),CAR (165); SCOOTER (41); PASSENGER AUTO (10),"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)"
42,12.985,77.55347,2,519,57,30.91,43.84,Rajajinagar,BTP061 - Bhashyam Circle,09:00-09:59,NO PARKING (293); WRONG PARKING (226); DEFECTIVE NUMBER PLATE (11),SCOOTER (267); CAR (114); MOTOR CYCLE (94),"Vatal Nagaraj Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 "
43,12.927037,77.586,3,404,48,32.13,43.44,Jayanagara,"BTP226 - 33rd Cross, 11th Main, Jayanagar",08:00-08:59,NO PARKING (347); WRONG PARKING (143); PARKING IN A MAIN ROAD (46),CAR (196); SCOOTER (146); MOTOR CYCLE (42),"11th Main Road, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
44,12.93,77.685,1,473,69,30.69,43.32,HAL Old Airport,No Junction,08:00-08:59,NO PARKING (290); WRONG PARKING (230); PARKING NEAR ROAD CROSSING (126),CAR (182); PASSENGER AUTO (165); MAXI-CAB (48),"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)"
45,12.988,77.537513,2,378,64,32.28,43.23,Vijayanagara,BTP208 - Havanur Circle,10:00-10:59,WRONG PARKING (336); NO PARKING (44); PARKING IN A MAIN ROAD (33),CAR (183); SCOOTER (133); MOTOR CYCLE (45),"1st Main Road, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
46,12.917,77.573359,2,359,68,32.68,43.23,Banashankari,"BTP115 - Sahasra Hospital, Jayanagar",11:00-11:59,NO PARKING (295); WRONG PARKING (69); DEFECTIVE NUMBER PLATE (18),SCOOTER (150); PASSENGER AUTO (88); MOTOR CYCLE (52),"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)"
47,12.984,77.578,1,250,79,35.27,43.11,High ground,BTP054 - Shivananda Circle,08:00-08:59,NO PARKING (210); WRONG PARKING (41); DEFECTIVE NUMBER PLATE (6),CAR (153); SCOOTER (38); PASSENGER AUTO (24),"Kumar Krupa Road, Padmashree RMP Aaradhya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
48,12.98,77.614,1,479,79,29.83,42.9,Shivajinagar,No Junction,10:00-10:59,NO PARKING (267); WRONG PARKING (212); PARKING IN A MAIN ROAD (2),CAR (416); PASSENGER AUTO (38); LGV (7),"Dickenson Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
49,12.957,77.701,1,427,93,29.96,42.48,HAL Old Airport,No Junction,02:00-02:59,NO PARKING (243); WRONG PARKING (216); PARKING IN A MAIN ROAD (80),SCOOTER (138); BUS (BMTC/KSRTC) (110); MOTOR CYCLE (87),"HAL Airport Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
50,12.93,77.61,1,109,46,39.89,42.11,Mico Layout,BTP140 - Madiwala Check Post,02:00-02:59,WRONG PARKING (91); PARKING IN A MAIN ROAD (85); NO PARKING (18),CAR (42); MAXI-CAB (36); PASSENGER AUTO (14),"Thavarekere Main Road, Prestige Lexington Towers, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)"
51,12.98552,77.556,2,246,57,31.52,40.98,Rajajinagar,"BTP210 - 50th cross, 12th Main , Rajajinagar",03:00-03:59,WRONG PARKING (151); NO PARKING (95); DEFECTIVE NUMBER PLATE (1),CAR (149); SCOOTER (36); PASSENGER AUTO (20),"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (Ind"
52,12.958,77.586,1,196,69,33.05,40.85,Wilson Garden,BTP192 - Urvashi Theater,07:00-07:59,NO PARKING (190); WRONG PARKING (6); PARKING IN A MAIN ROAD (3),CAR (59); SCOOTER (54); MOTOR CYCLE (38),"Lalbagh Main Road, SGN Layout, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)"
53,12.987,77.58,1,154,50,33.73,40.2,High ground,BTP054 - Shivananda Circle,07:00-07:59,NO PARKING (132); WRONG PARKING (23); PARKING IN A MAIN ROAD (5),CAR (137); SCOOTER (4); LGV (3),"Kumar Krupa Road, Dr Hardikar Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)"
54,12.944,77.573,1,183,51,31.79,39.86,Basavanagudi,BTP108 - Tagore Park Junction,04:00-04:59,NO PARKING (169); WRONG PARKING (14); DEFECTIVE NUMBER PLATE (3),CAR (151); SCOOTER (14); PASSENGER AUTO (12),"Rathana Vilas Road, Babasahebara Palya, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
55,12.999,77.542,1,149,55,32.4,39.32,Vijayanagara,"BTP206 - Shankara Mutt Circle, Vijayanagar",05:00-05:59,WRONG PARKING (107); NO PARKING (42); PARKING IN A MAIN ROAD (7),CAR (108); SCOOTER (21); PASSENGER AUTO (8),"Padmabhushan Dr MC Modi Road, Bhimajyothi LIC Colony, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
56,12.96,77.644,1,130,56,32.57,38.84,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",04:00-04:59,NO PARKING (124); PARKING IN A MAIN ROAD (24); WRONG PARKING (16),PASSENGER AUTO (49); MAXI-CAB (34); CAR (18),"Old Airport Road, Carlton Towers, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)"
57,12.99,77.553,1,167,37,30.2,38.6,Rajajinagar,"BTP204 - ESI Hospital, Rajajinagar",03:00-03:59,WRONG PARKING (160); NO PARKING (7); DEFECTIVE NUMBER PLATE (2),PASSENGER AUTO (70); CAR (37); SCOOTER (30),"41st Cross Road, KEB Quarters, Block 3, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
58,12.925,77.619,1,162,33,30.28,38.51,Madiwala,BTP137 - Madiwala Traffic PS Junction,01:00-01:59,NO PARKING (156); WRONG PARKING (6); PARKING IN A MAIN ROAD (2),CAR (77); PRIVATE BUS (26); PASSENGER AUTO (21),"Domlur Inner Ring Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)"
59,12.996,77.584,1,121,43,32.37,38.42,Sheshadripuram,BTP032 - Windsor Circle,10:00-10:59,NO PARKING (84); WRONG PARKING (40); PARKING IN A MAIN ROAD (5),CAR (115); SCOOTER (2); PASSENGER AUTO (1),"Anna Basavanna Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
60,12.964,77.556,1,107,27,33.25,38.38,Magadi Road,BTP091 - Sirsi Circle,02:00-02:59,NO PARKING (88); PARKING IN A MAIN ROAD (37); PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (25),CAR (42); PASSENGER AUTO (20); GOODS AUTO (19),"JJR Main Road, Obleshwar Colony, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)"
61,12.981,77.549,1,154,42,30.25,38.28,Magadi Road,"BTP024 - NPS, Vijayanagar",03:00-03:59,NO PARKING (95); WRONG PARKING (59); PARKING IN A MAIN ROAD (5),CAR (87); SCOOTER (27); MOTOR CYCLE (10),"Pramukh Swami Maharaj Road, GEF Block, Industrial Town, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
62,12.937,77.602,1,104,49,32.66,37.94,Mico Layout,BTP126 - Dairy Circle,07:00-07:59,WRONG PARKING (79); PARKING IN A MAIN ROAD (42); NO PARKING (25),SCOOTER (46); MOTOR CYCLE (21); MAXI-CAB (14),"Dairy Circle Flyover Underpass, Dairy Circle, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)"
63,12.931,77.584,1,139,46,30.06,37.74,Jayanagara,BTP219 - Canara Bank Junction,10:00-10:59,NO PARKING (92); WRONG PARKING (47); PARKING IN A MAIN ROAD (4),CAR (82); SCOOTER (40); MOTOR CYCLE (10),"9th Main Road, Da Ra Bendre Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
64,12.98,77.555,1,118,54,30.74,37.42,Magadi Road,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",06:00-06:59,NO PARKING (93); WRONG PARKING (25); PARKING IN A MAIN ROAD (8),CAR (44); PASSENGER AUTO (23); SCOOTER (22),"80 Feet Ring Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
65,12.978,77.544,1,126,45,29.97,37.27,Magadi Road,BTP067 - Jai Muni Rao Circle,11:00-11:59,NO PARKING (65); WRONG PARKING (61); PARKING IN A MAIN ROAD (2),CAR (49); SCOOTER (40); MOTOR CYCLE (18),"G Narayana Kumar Road, Jai Maniurao Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
66,12.997,77.546,1,112,48,30.56,37.1,Vijayanagara,BTP205 - Modi Hospital Junction,10:00-10:59,WRONG PARKING (97); NO PARKING (15); PARKING IN A MAIN ROAD (13),CAR (54); SCOOTER (37); MOTOR CYCLE (13),"Padmabhushan Dr MC Modi Road, Indiranagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
