target_date,target_weekday,deployment_status,area_rank,priority_band,primary_police_station,recommended_time_window_IST,suggested_patrol_units,operational_impact_score_0_100,historical_area_records,station_same_weekday_baseline,station_same_hour_baseline,recommended_intervention,primary_junction,representative_location,field_success_metric
2026-06-24,Wednesday,Targeted patrol,18,Watch,City Market,11:00-11:59,1,52.37,1853,2647,1401,carriageway clearance; auto stand regulation,BTP104 - Medical College Circle,"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,19,Watch,Shivajinagar,05:00-05:59,1,52.23,1951,2911,1480,tow-away readiness; junction approach protection,BTP042 - Minsk Square Junction (CTO),"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,22,Watch,HAL Old Airport,08:00-08:59,1,50.5,1325,3579,2437,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,No Junction,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,23,Watch,Malleshwaram,09:00-09:59,1,49.8,1563,2704,2709,tow-away readiness; junction approach protection,No Junction,"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (In",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,28,Watch,Malleshwaram,10:00-10:59,1,48.53,1121,2704,3054,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,No Junction,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,30,Watch,HAL Old Airport,03:00-03:59,1,47.77,1002,3579,2449,carriageway clearance; tow-away readiness; junction approach protection,No Junction,"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,31,Watch,Vijayanagara,05:00-05:59,1,47.77,936,2286,1399,carriageway clearance; tow-away readiness; junction approach protection,"BTP022 - Marenahalli Junction, Vijayanagar","1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,33,Watch,Shivajinagar,10:00-10:59,1,46.23,605,2911,4997,tow-away readiness; junction approach protection,BTP211 - Central Street Junction,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,37,Watch,Vijayanagara,10:00-10:59,1,44.7,467,2286,1867,tow-away readiness; junction approach protection,BTP028 - Vijayanagar Bus Stand Junction,"17th Cross Road, MRCR Extension, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Targeted patrol,40,Watch,Vijayanagara,02:00-02:59,1,44.03,418,2286,861,carriageway clearance; tow-away readiness,"BTP170 - Dr. Bheem Rao Palace, Chord Road","Chord Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,8,Medium,K.R. Pura,00:00-00:59,2,57.85,3084,941,1084,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,No Junction,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,9,Medium,Chikkajala,01:00-01:59,2,57.84,3374,747,548,carriageway clearance; tow-away readiness; junction approach protection,No Junction,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,10,Medium,Hebbala,03:00-03:59,2,57.45,2963,758,367,tow-away readiness; junction approach protection,No Junction,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,13,Medium,Magadi Road,12:00-12:59,2,55.11,2212,831,972,auto stand regulation; junction approach protection,"BTP070 - Cholurpalya Junction, Magadi Road","1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,15,Watch,Chamarajpet,07:00-07:59,1,53.41,1461,485,425,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,BTP048 - Shanthala Junction,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,16,Watch,Mahadevapura,10:00-10:59,1,52.99,1821,744,695,carriageway clearance; auto stand regulation; junction approach protection,No Junction,"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,17,Watch,Basavanagudi,11:00-11:59,1,52.5,1650,468,415,carriageway clearance; tow-away readiness; junction approach protection,BTP108 - Tagore Park Junction,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,20,Watch,High ground,03:00-03:59,1,50.74,2200,1212,759,tow-away readiness,BTP032 - Windsor Circle,"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,21,Watch,Byatarayanapura,01:00-01:59,1,50.73,1383,698,352,carriageway clearance; auto stand regulation; tow-away readiness,"BTP095 - Satellite Bus Stand, Mysore Road","Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,24,Watch,Mahadevapura,01:00-01:59,1,49.27,1168,744,477,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,No Junction,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,25,Watch,Jeevanbheemanagar,07:00-07:59,1,49.25,1165,952,805,tow-away readiness; junction approach protection,No Junction,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,26,Watch,Rajajinagar,10:00-10:59,1,49.2,885,1801,1494,tow-away readiness,BTP023 - Mahalaxmi Layout Entrance,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,27,Watch,Rajajinagar,03:00-03:59,1,48.71,985,1801,1597,carriageway clearance; tow-away readiness,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road","17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,29,Watch,Cubbon Park,11:00-11:59,1,48.06,830,447,382,carriageway clearance; tow-away readiness,BTP063 - Siddalingaiah Circle,"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,32,Watch,Magadi Road,10:00-10:59,1,47.23,820,831,1013,carriageway clearance; auto stand regulation; junction approach protection,BTP074 - Leprosy Hospital Junction,"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,34,Watch,Adugodi,09:00-09:59,1,46.22,665,452,201,carriageway clearance; tow-away readiness; junction approach protection,BTP135 - UCO Bank Junction,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,35,Watch,Chikkajala,01:00-01:59,1,45.93,595,747,548,carriageway clearance; tow-away readiness; junction approach protection,No Junction,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,36,Watch,Ashok Nagar,04:00-04:59,1,44.85,609,517,715,tow-away readiness,BTP172 - Nanjappa Circle,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,38,Watch,Jayanagara,09:00-09:59,1,44.63,552,603,419,tow-away readiness,"BTP189 - New Diagonal Road, Jayanagar","5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",repeat violations reduced in same area over next 7 days
2026-06-24,Wednesday,Monitor,39,Watch,Magadi Road,12:00-12:59,1,44.5,321,831,972,carriageway clearance; auto stand regulation,BTP010 - Rajajinagar Entrance,"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",repeat violations reduced in same area over next 7 days
